iter	Passed	Remaining
627	20290	12019
628	20320	11985
629	20356	11955
630	20386	11921
631	20418	11889
632	20449	11855
633	20480	11823
634	20510	11789
635	20542	11756
636	20577	11726
637	20610	11694
638	20640	11660
639	20671	11627
640	20702	11594
641	20734	11562
642	20771	11532
643	20806	11501
644	20839	11469
645	20871	11437
646	20902	11404
647	20935	11372
648	20965	11338
649	20994	11304
650	21027	11272
651	21059	11240
652	21090	11207
653	21121	11174
654	21153	11142
655	21184	11109
656	21216	11076
657	21247	11043
658	21279	11011
659	21310	10978
660	21342	10945
661	21373	10912
662	21404	10880
663	21434	10846
664	21469	10815
665	21504	10784
666	21541	10754
667	21575	10723
668	21609	10691
669	21647	10662
670	21686	10633
671	21724	10603
672	21760	10572
673	21794	10541
674	21830	10510
675	21866	10480
676	21900	10448
677	21936	10418
678	21973	10388
679	22008	10357
680	22045	10326
681	22080	10295
682	22118	10265
683	22156	10236
684	22191	10204
685	22223	10172
686	22254	10139
687	22287	10107
688	22319	10074
689	22353	10042
690	22387	10011
691	22425	9981
692	22464	9951
693	22499	9920
694	22536	9890
695	22572	9859
696	22606	9827
697	22642	9796
698	22680	9766
699	22714	9734
700	22749	9703
701	22785	9672
702	22817	9639
703	22849	9607
704	22882	9574
705	22912	9541
706	22942	9507
707	22972	9474
708	23003	9441
709	23034	9408
710	23067	9376
711	23100	9344
712	23134	9312
713	23167	9279
714	23203	9249
715	23241	9218
716	23277	9187
717	23312	9156
718	23347	9124
719	23379	9092
720	23412	9059
721	23445	9027
722	23477	8994
723	23509	8962
724	23541	8929
725	23573	8897
726	23606	8864
727	23640	8832
728	23670	8799
729	23702	8766
730	23732	8733
731	23763	8700
732	23793	8667
733	23824	8633
734	23855	8601
735	23893	8570
736	23924	8537
737	23954	8504
738	23985	8471
739	24015	8438
740	24048	8405
741	24079	8372
742	24109	8339
743	24140	8306
744	24169	8272
745	24202	8240
746	24232	8207
747	24263	8174
748	24294	8141
749	24328	8109
750	24360	8076
751	24394	8045
752	24431	8013
753	24465	7982
754	24501	7950
755	24536	7919
756	24568	7886
757	24601	7854
758	24632	7821
759	24663	7788
760	24695	7755
761	24727	7723
762	24759	7690
763	24791	7658
764	24824	7625
765	24862	7595
766	24902	7564
767	24940	7534
768	24977	7502
769	25010	7470
770	25042	7438
771	25072	7404
772	25104	7372
773	25136	7339
774	25170	7307
775	25201	7274
776	25232	7241
777	25264	7209
778	25295	7176
779	25327	7143
780	25358	7110
781	25390	7078
782	25422	7045
783	25452	7012
784	25484	6979
785	25517	6947
786	25548	6914
787	25580	6881
788	25613	6849
789	25645	6817
790	25676	6784
791	25708	6751
792	25740	6719
793	25770	6686
794	25801	6653
795	25831	6620
796	25866	6588
797	25897	6555
798	25930	6523
799	25959	6489
800	25991	6457
801	26021	6424
802	26052	6391
803	26084	6358
804	26115	6326
805	26146	6293
806	26176	6260
807	26206	6227
808	26238	6194
809	26269	6162
810	26301	6129
811	26333	6097
812	26365	6064
813	26394	6031
814	26425	5998
815	26457	5965
816	26487	5932
817	26518	5900
818	26549	5867
819	26580	5834
820	26610	5801
821	26641	5769
822	26670	5736
823	26702	5703
824	26734	5671
825	26766	5638
826	26798	5605
827	26829	5573
828	26861	5540
829	26892	5508
830	26925	5475
831	26958	5443
832	26987	5410
833	27017	5377
834	27050	5345
835	27081	5312
836	27112	5279
837	27144	5247
838	27175	5214
839	27207	5182
840	27238	5149
841	27268	5116
842	27297	5083
843	27329	5051
844	27359	5018
845	27391	4986
846	27422	4953
847	27452	4920
848	27485	4888
849	27514	4855
850	27545	4822
851	27579	4790
852	27609	4757
853	27640	4725
854	27671	4692
855	27701	4660
856	27730	4627
857	27761	4594
858	27792	4562
859	27826	4529
860	27857	4497
861	27887	4464
862	27918	4431
